ID,Trips,Date_Time_From,Trip_Date,Date_Time_To,work_time,Trip_Hours,Trip_Minutes,Trip_Seconds,Trip_Time,Trip_time_Percent,Off-Trip_Time,Odometer_From,Odometer_To,Total_Miles,Trip_Mileage,Trip_Mileage_Percent,Off_Trip_Mileage,Fare,Surge,Commission,Total_Payment,Work_Time_converted,Rounded_Hours,Earnings_Per_Hour,,
MON0314,10,3/14/2016 22:28,03/14/16,3/15/2016 5:15,6:47:35,2,10,57,2:10:57,0.3213,4:36:38,176795,176937,142,68.8,0.484507042,73.2,117.93,3.03,-24.2,96.76,6.7931,7,13.82,,
MON0328,7,3/28/2016 23:36,03/28/16,3/29/2016 2:33,2:57:33,1,13,36,1:13:36,0.4145,1:43:57,178920,178970,50,24.17,0.4834,25.83,50.02,0,-10,40.02,2.9592,3,13.34,,
MON0404,4,4/4/2016 21:30,04/04/16,4/5/2016 2:48,5:18:02,1,6,11,1:06:11,0.2081,4:11:51,180161,180253,92,48.98,0.532391304,43.02,74.56,0,-14.91,59.65,5.3006,5,11.93,,
MON0411,8,4/11/2016 23:31,04/11/16,4/12/2016 4:00,4:28:18,1,46,37,1:46:37,0.3974,2:41:41,181396,181510,114,59.63,0.523070175,54.37,99.88,15.38,-23.05,92.21,4.4717,4,23.05,,
MON0418,7,4/18/2016 23:39,04/18/16,4/19/2016 3:39,3:59:41,1,8,31,1:08:31,0.2859,2:51:10,182186,182262,76,31.45,0.413815789,44.55,59.7,3.02,-12.54,50.18,3.9947,4,12.55,,
MON0425,10,4/25/2016 21:55,04/25/16,4/26/2016 4:15,6:20:20,1,48,35,1:48:35,0.2855,4:31:45,183418,183519,101,44,0.435643564,57,85.94,3.62,-17.92,71.64,6.3389,6,11.94,,
MON0502,5,5/2/2016 23:51,05/02/16,5/3/2016 3:05,3:14:06,0,31,20,0:31:20,0.1614,2:42:46,184611,184663,52,11.76,0.226153846,40.24,28.56,0,-5.71,22.85,3.235,3,7.62,,
SAT0220,25,2/20/2016 19:44,02/20/16,2/21/2016 7:34,11:50:00,5,10,32,5:10:32,0.4374,6:39:28,172374,172611,237.4,135.44,0.570513901,101.96,246.35,,-50.56,202.17,11.8333,12,16.85,,
SAT0227,17,2/27/2016 22:21,02/27/16,2/28/2016 6:20,7:59:00,4,1,50,4:01:50,0.5049,3:57:10,173654,173853,199,114.2,0.573869347,84.8,199.73,,-47.77,191.12,7.9833,8,23.89,,
SAT0305,25,3/5/2016 18:59,03/05/16,3/6/2016 6:36,11:37:00,4,45,42,4:45:42,0.4099,6:51:18,174984,175242,258,138.55,0.537015504,119.45,254.54,5.42,-51.99,207.97,11.6167,12,17.33,,
SAT0312,17,3/12/2016 18:30,03/12/16,3/13/2016 4:54,10:24:56,3,40,34,3:40:34,0.3529,6:44:22,176379,176537,149,77.64,0.521073826,71.36,154.86,45.4,-40.03,160.23,10.4156,10,16.02,,
SAT0319,17,3/19/2016 19:22,03/19/16,3/20/2016 3:36,8:14:01,3,15,54,3:15:54,0.3965,4:58:07,177628,177817,189,85.5,0.452380952,103.5,164.98,37.22,-40.45,161.75,8.2336,8,19.65,,
SAT0326,20,3/26/2016 20:46,03/26/16,3/27/2016 8:01,11:15:00,4,17,11,4:17:11,0.381,6:57:49,178440,178704,264,129.33,0.489886364,134.67,227.12,5,-46.43,185.69,11.25,11,16.88,,
SAT0402,23,4/2/2016 18:15,04/02/16,4/3/2016 5:44,11:29:06,4,53,52,4:53:52,0.4264,6:35:14,179665,179878,213,132.33,0.621267606,80.67,243.59,42.62,-57.25,228.96,11.485,11,20.81,,
SAT0409,22,4/9/2016 18:30,04/09/16,4/10/2016 5:33,11:03:24,4,41,47,4:41:47,0.4248,6:21:37,181005,181219,214,114.57,0.535373832,99.43,215.98,78.29,-58.84,235.43,11.0567,11,21.4,,
SAT0416,5,4/16/2016 22:24,04/16/16,4/17/2016 1:12,2:47:53,1,12,25,1:12:25,0.4314,1:35:28,181972,182024,52,21.38,0.411153846,30.62,55.96,5.93,-12.38,49.51,2.7981,3,16.5,,
SAT0423,23,4/23/2016 19:00,04/23/16,4/24/2016 6:13,11:13:27,5,43,30,5:43:30,0.5101,5:29:57,183037,183268,231,161.9,0.700865801,69.1,284.23,169.49,-90.73,362.99,11.2242,11,33,,
SAT0430,25,4/30/2016 18:21,04/30/16,5/1/2016 4:45,10:24:00,4,14,43,4:14:43,0.4082,6:09:17,184222,184410,188,107.1,0.569680851,80.9,210.81,70.46,-56.26,225.01,10.4,10,22.5,,
SAT0507,26,5/7/2016 20:08,05/07/16,5/8/2016 5:14,9:06:01,4,54,0,4:54:00,0.5384,4:12:01,185377,185539,162,108.46,0.669506173,53.54,216.29,35.62,-50.37,201.54,9.1003,9,22.39,,
